GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hacktothemoon,com.hacktothemoon.repository,CustomAuditEventRepository,12,121,2,10,3,28,3,7,1,3
Hacktothemoon,com.hacktothemoon.service.util,RandomUtil,0,9,0,0,0,3,0,3,0,3
Hacktothemoon,com.hacktothemoon.web.rest,AccountResource,12,188,2,20,1,47,3,20,1,11
Hacktothemoon,com.hacktothemoon.web.rest,UserJWTController,0,67,0,2,0,13,0,3,0,2
Hacktothemoon,com.hacktothemoon.web.rest,UserJWTController.JWTToken,4,9,0,0,2,4,1,2,1,2
Hacktothemoon,com.hacktothemoon.web.rest,AccountResource.AccountResourceException,0,4,0,0,0,2,0,1,0,1
Hacktothemoon,com.hacktothemoon.web.rest,UserResource,0,224,0,14,0,39,0,14,0,7
Hacktothemoon,com.hacktothemoon.web.rest,AuditResource,0,56,0,0,0,12,0,4,0,4
Hacktothemoon,com.hacktothemoon.config,LiquibaseConfiguration,4,60,1,1,1,15,1,2,0,2
Hacktothemoon,com.hacktothemoon.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Hacktothemoon,com.hacktothemoon.config,SecurityConfiguration,0,179,0,0,0,48,0,5,0,5
Hacktothemoon,com.hacktothemoon.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Hacktothemoon,com.hacktothemoon.config,DefaultProfileUtil,13,0,0,0,4,0,1,0,1,0
Hacktothemoon,com.hacktothemoon.config,JacksonConfiguration,0,27,0,0,0,7,0,7,0,7
Hacktothemoon,com.hacktothemoon.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Hacktothemoon,com.hacktothemoon.config,WebConfigurer,38,76,6,2,8,18,5,4,1,4
Hacktothemoon,com.hacktothemoon.config,LoggingConfiguration,3,59,6,4,0,17,5,1,0,1
Hacktothemoon,com.hacktothemoon.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Hacktothemoon,com.hacktothemoon.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Hacktothemoon,com.hacktothemoon.config,DatabaseConfiguration,0,7,0,0,0,2,0,1,0,1
Hacktothemoon,com.hacktothemoon.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Hacktothemoon,com.hacktothemoon.security,SpringSecurityAuditorAware,0,8,0,0,0,2,0,2,0,2
Hacktothemoon,com.hacktothemoon.security,DomainUserDetailsService,20,111,0,4,0,20,2,8,2,6
Hacktothemoon,com.hacktothemoon.security,SecurityUtils,96,19,3,1,23,6,11,2,9,2
Hacktothemoon,com.hacktothemoon.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Hacktothemoon,com.hacktothemoon.domain,User_,3,0,0,0,1,0,1,0,1,0
Hacktothemoon,com.hacktothemoon.domain,PersistentAuditEvent,0,95,0,8,0,24,0,18,0,14
Hacktothemoon,com.hacktothemoon.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Hacktothemoon,com.hacktothemoon.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Hacktothemoon,com.hacktothemoon.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Hacktothemoon,com.hacktothemoon.domain,Authority,0,45,0,4,0,11,0,8,0,6
Hacktothemoon,com.hacktothemoon.domain,User,0,196,0,8,0,50,0,34,0,30
Hacktothemoon,com.hacktothemoon.domain,PersistentAuditEvent_,3,0,0,0,1,0,1,0,1,0
Hacktothemoon,com.hacktothemoon.config.audit,AuditEventConverter,41,83,8,8,10,19,7,6,1,4
Hacktothemoon,com.hacktothemoon.service.mapper,UserMapper,0,118,0,6,0,37,0,11,0,8
Hacktothemoon,com.hacktothemoon.web.rest.vm,KeyAndPasswordVM,0,17,0,0,0,7,0,5,0,5
Hacktothemoon,com.hacktothemoon.web.rest.vm,LoginVM,19,24,0,0,1,10,1,7,1,7
Hacktothemoon,com.hacktothemoon.web.rest.vm,ManagedUserVM,12,10,0,0,1,5,1,3,1,3
